week,rep,plastic,type,abundance,abundance_cor,log_abundance,type2
1,1_PVC_5,PVC,coliform,0,1,0,(b)~coliform
1,1_PVC_5,PVC,ecoli,0,1,0,"(c)~italic(""E.coli"")"
1,1_PP_5,PP,culturable,167.05882352941177,168.05882352941177,2.225461319004469,(a)~LB~medium
1,1_PP_5,PP,coliform,0,1,0,(b)~coliform
1,1_PP_5,PP,ecoli,0,1,0,"(c)~italic(""E.coli"")"
1,1_LDPE_5,LDPE,culturable,63.529411764705884,64.52941176470588,1.8097577061964372,(a)~LB~medium
1,1_LDPE_5,LDPE,coliform,0,1,0,(b)~coliform
1,1_LDPE_5,LDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
1,1_HDPE_5,HDPE,culturable,197.64705882352942,198.64705882352942,2.298082139257138,(a)~LB~medium
1,1_HDPE_5,HDPE,coliform,2.3529411764705883,3.3529411764705883,0.5254259342942175,(b)~coliform
1,1_HDPE_5,HDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
1,1_PET_6,PET,culturable,21.176470588235293,22.176470588235293,1.345892428827519,(a)~LB~medium
1,1_PET_6,PET,coliform,0,1,0,(b)~coliform
1,1_PET_6,PET,ecoli,0,1,0,"(c)~italic(""E.coli"")"
1,1_PVC_6,PVC,culturable,65.88235294117646,66.88235294117646,1.8253115433094609,(a)~LB~medium
1,1_PVC_6,PVC,coliform,0,1,0,(b)~coliform
1,1_PVC_6,PVC,ecoli,0,1,0,"(c)~italic(""E.coli"")"
1,1_PP_6,PP,culturable,2.3529411764705883,3.3529411764705883,0.5254259342942175,(a)~LB~medium
1,1_PP_6,PP,coliform,0,1,0,(b)~coliform
1,1_PP_6,PP,ecoli,0,1,0,"(c)~italic(""E.coli"")"
1,1_LDPE_6,LDPE,culturable,44.705882352941174,45.705882352941174,1.6599720974226404,(a)~LB~medium
1,1_LDPE_6,LDPE,coliform,0,1,0,(b)~coliform
1,1_LDPE_6,LDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
1,1_HDPE_6,HDPE,culturable,23.529411764705884,24.529411764705884,1.3896871335954837,(a)~LB~medium
1,1_HDPE_6,HDPE,coliform,0,1,0,(b)~coliform
1,1_HDPE_6,HDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
1,1_PET_7,PET,culturable,138.8235294117647,139.8235294117647,2.1455802603499063,(a)~LB~medium
1,1_PET_7,PET,coliform,0,1,0,(b)~coliform
1,1_PET_7,PET,ecoli,0,1,0,"(c)~italic(""E.coli"")"
1,1_PVC_7,PVC,culturable,54.11764705882353,55.11764705882353,1.7412906695095043,(a)~LB~medium
1,1_PVC_7,PVC,coliform,0,1,0,(b)~coliform
1,1_PVC_7,PVC,ecoli,0,1,0,"(c)~italic(""E.coli"")"
1,1_PP_7,PP,culturable,11.764705882352942,12.764705882352942,1.1060108124702557,(a)~LB~medium
1,1_PP_7,PP,coliform,4.705882352941177,5.705882352941177,0.756322812887971,(b)~coliform
1,1_PP_7,PP,ecoli,0,1,0,"(c)~italic(""E.coli"")"
1,1_LDPE_7,LDPE,culturable,169.41176470588235,170.41176470588235,2.231499573825488,(a)~LB~medium
1,1_LDPE_7,LDPE,coliform,0,1,0,(b)~coliform
1,1_LDPE_7,LDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
1,1_HDPE_7,HDPE,culturable,131.76470588235293,132.76470588235293,2.123082637699488,(a)~LB~medium
1,1_HDPE_7,HDPE,coliform,0,1,0,(b)~coliform
1,1_HDPE_7,HDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_PET_1,PET,culturable,18.823529411764707,19.823529411764707,1.2971809794930647,(a)~LB~medium
2,2_PET_1,PET,coliform,0,1,0,(b)~coliform
2,2_PET_1,PET,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_PVC_1,PVC,culturable,310.5882352941176,311.5882352941176,2.4935810515573236,(a)~LB~medium
2,2_PVC_1,PVC,coliform,9.411764705882353,10.411764705882353,1.0175243449835327,(b)~coliform
2,2_PVC_1,PVC,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_PP_1,PP,culturable,82.3529411764706,83.3529411764706,1.9209209288691864,(a)~LB~medium
2,2_PP_1,PP,coliform,4.705882352941177,5.705882352941177,0.756322812887971,(b)~coliform
2,2_PP_1,PP,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_LDPE_1,LDPE,culturable,287.05882352941177,288.05882352941177,2.4594811826399443,(a)~LB~medium
2,2_LDPE_1,LDPE,coliform,30.58823529411765,31.58823529411765,1.4995253643212818,(b)~coliform
2,2_LDPE_1,LDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_HDPE_1,HDPE,culturable,496.47058823529414,497.47058823529414,2.696767409212991,(a)~LB~medium
2,2_HDPE_1,HDPE,coliform,68.23529411764706,69.23529411764706,1.8403275414651608,(b)~coliform
2,2_HDPE_1,HDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_PET_2,PET,culturable,200,201,2.303196057420489,(a)~LB~medium
2,2_PET_2,PET,coliform,2.3529411764705883,3.3529411764705883,0.5254259342942175,(b)~coliform
2,2_PET_2,PET,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_PVC_2,PVC,culturable,270.5882352941176,271.5882352941176,2.4339109531728673,(a)~LB~medium
2,2_PVC_2,PVC,coliform,0,1,0,(b)~coliform
2,2_PVC_2,PVC,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_PP_2,PP,culturable,223.52941176470588,224.52941176470588,2.351273238570825,(a)~LB~medium
2,2_PP_2,PP,coliform,35.294117647058826,36.294117647058826,1.5598362426549677,(b)~coliform
2,2_PP_2,PP,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_LDPE_2,LDPE,culturable,320,321,2.506505032404872,(a)~LB~medium
2,2_LDPE_2,LDPE,coliform,4.705882352941177,5.705882352941177,0.756322812887971,(b)~coliform
2,2_LDPE_2,LDPE,ecoli,0,1,0,"(c)~italic(""E.coli"")"
2,2_HDPE_2,HDPE,culturable,423.52941176470586,424.52941176470586,2.6279077839194995,(a)~LB~medium
2,2_HDPE_2,HDPE,coliform,18.823529411764707,19.823529411764707,1.2971809794930647,(b)~coliform
2,2_HDPE_2,HDPE,ecoli,2.3529411764705883,3.3529411764705883,0.5254259342942175,"(c)~italic(""E.coli"")"
