site,plastic,rep,type,abundance,abundance_cor,log_abundance,type2
dockyard,PP,dockyard_PP_1,culturable,522.47,523.47,2.718891797365787,(a)~LB~medium
dockyard,PP,dockyard_PP_1,coliform,7.12,8.120000000000001,0.9095560292411754,(b)~coliform
dockyard,PP,dockyard_PP_1,ecoli,0,1,0,"(c)~italic(""E.coli"")"
dockyard,PP,dockyard_PP_2,culturable,322.98,323.98,2.5105182010778093,(a)~LB~medium
dockyard,PP,dockyard_PP_2,coliform,7.12,8.120000000000001,0.9095560292411754,(b)~coliform
dockyard,PP,dockyard_PP_2,ecoli,4.75,5.75,0.7596678446896304,"(c)~italic(""E.coli"")"
dockyard,PP,dockyard_PP_3,culturable,2066.14,2067.14,3.3153698908355587,(a)~LB~medium
dockyard,PP,dockyard_PP_3,coliform,59.37,60.37,1.7808211758534729,(b)~coliform
dockyard,PP,dockyard_PP_3,ecoli,4.75,5.75,0.7596678446896304,"(c)~italic(""E.coli"")"
dockyard,PP,dockyard_PP_4,culturable,783.71,784.71,2.894709187102854,(a)~LB~medium
dockyard,PP,dockyard_PP_4,coliform,275.49,276.49,2.4416794285038086,(b)~coliform
dockyard,PP,dockyard_PP_4,ecoli,4.75,5.75,0.7596678446896304,"(c)~italic(""E.coli"")"
dockyard,PP,dockyard_PP_5,culturable,73.62,74.62,1.8728552447048104,(a)~LB~medium
dockyard,PP,dockyard_PP_5,coliform,4.75,5.75,0.7596678446896304,(b)~coliform
dockyard,PP,dockyard_PP_5,ecoli,0,1,0,"(c)~italic(""E.coli"")"
dockyard,PP,dockyard_PP_6,culturable,474.97,475.97,2.6775795803569493,(a)~LB~medium
dockyard,PP,dockyard_PP_6,coliform,49.87,50.87,1.7064617376313547,(b)~coliform
dockyard,PP,dockyard_PP_6,ecoli,4.75,5.75,0.7596678446896304,"(c)~italic(""E.coli"")"
dockyard,HDPE,dockyard_HDPE_1,culturable,2992.34,2993.34,3.476156049194854,(a)~LB~medium
dockyard,HDPE,dockyard_HDPE_1,coliform,90.25,91.25,1.9602328731285124,(b)~coliform
dockyard,HDPE,dockyard_HDPE_1,ecoli,2.37,3.37,0.5276299008713387,"(c)~italic(""E.coli"")"
dockyard,HDPE,dockyard_HDPE_2,culturable,1496.17,1497.17,3.175271116221578,(a)~LB~medium
dockyard,HDPE,dockyard_HDPE_2,coliform,116.37,117.37,2.069557104582695,(b)~coliform
dockyard,HDPE,dockyard_HDPE_2,ecoli,2.37,3.37,0.5276299008713387,"(c)~italic(""E.coli"")"
dockyard,HDPE,dockyard_HDPE_3,culturable,1472.42,1473.42,3.168326560612314,(a)~LB~medium
dockyard,HDPE,dockyard_HDPE_3,coliform,159.12,160.12,2.2044455814330677,(b)~coliform
dockyard,HDPE,dockyard_HDPE_3,ecoli,23.75,24.75,1.3935752032695876,"(c)~italic(""E.coli"")"
dockyard,HDPE,dockyard_HDPE_4,culturable,1116.19,1117.19,3.048127039663898,(a)~LB~medium
dockyard,HDPE,dockyard_HDPE_4,coliform,208.99,209.99,2.3221986135518917,(b)~coliform
dockyard,HDPE,dockyard_HDPE_4,ecoli,16.62,17.62,1.2460059040760292,"(c)~italic(""E.coli"")"
dockyard,HDPE,dockyard_HDPE_5,culturable,712.46,713.46,2.853369629495179,(a)~LB~medium
dockyard,HDPE,dockyard_HDPE_5,coliform,19,20,1.3010299956639813,(b)~coliform
dockyard,HDPE,dockyard_HDPE_5,ecoli,4.75,5.75,0.7596678446896304,"(c)~italic(""E.coli"")"
dockyard,HDPE,dockyard_HDPE_6,culturable,1638.66,1639.66,3.214753802052457,(a)~LB~medium
dockyard,HDPE,dockyard_HDPE_6,coliform,94.99,95.99,1.9822259916746747,(b)~coliform
dockyard,HDPE,dockyard_HDPE_6,ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PET,"falmouth
wharf_PET_1",culturable,118.74,119.74,2.078239253809666,(a)~LB~medium
"falmouth
wharf",PET,"falmouth
wharf_PET_1",coliform,0,1,0,(b)~coliform
"falmouth
wharf",PET,"falmouth
wharf_PET_1",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PET,"falmouth
wharf_PET_2",culturable,57,58,1.7634279935629373,(a)~LB~medium
"falmouth
wharf",PET,"falmouth
wharf_PET_2",coliform,280.24,281.24,2.4490770892633167,(b)~coliform
