site,plastic,rep,type,abundance,abundance_cor,log_abundance,type2
"mylor
bank",HDPE,"mylor
bank_HDPE_1",culturable,26.12,27.12,1.4332896851950259,(a)~LB~medium
"mylor
bank",HDPE,"mylor
bank_HDPE_1",coliform,0,1,0,(b)~coliform
"mylor
bank",HDPE,"mylor
bank_HDPE_1",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",HDPE,"mylor
bank_HDPE_2",culturable,68.87,69.87,1.8442907432543432,(a)~LB~medium
"mylor
bank",HDPE,"mylor
bank_HDPE_2",coliform,4.75,5.75,0.7596678446896304,(b)~coliform
"mylor
bank",HDPE,"mylor
bank_HDPE_2",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",HDPE,"mylor
bank_HDPE_3",culturable,94.99,95.99,1.9822259916746747,(a)~LB~medium
"mylor
bank",HDPE,"mylor
bank_HDPE_3",coliform,9.5,10.5,1.021189299069938,(b)~coliform
"mylor
bank",HDPE,"mylor
bank_HDPE_3",ecoli,2.37,3.37,0.5276299008713387,"(c)~italic(""E.coli"")"
"mylor
bank",HDPE,"mylor
bank_HDPE_4",culturable,23.75,24.75,1.3935752032695876,(a)~LB~medium
"mylor
bank",HDPE,"mylor
bank_HDPE_4",coliform,0,1,0,(b)~coliform
"mylor
bank",HDPE,"mylor
bank_HDPE_4",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",HDPE,"mylor
bank_HDPE_5",culturable,83.12,84.12,1.9248992640142835,(a)~LB~medium
"mylor
bank",HDPE,"mylor
bank_HDPE_5",coliform,0,1,0,(b)~coliform
"mylor
bank",HDPE,"mylor
bank_HDPE_5",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",HDPE,"mylor
bank_HDPE_6",culturable,284.98,285.98,2.456335661823607,(a)~LB~medium
"mylor
bank",HDPE,"mylor
bank_HDPE_6",coliform,0,1,0,(b)~coliform
"mylor
bank",HDPE,"mylor
bank_HDPE_6",ecoli,0,1,0,"(c)~italic(""E.coli"")"
